Date;Kanton_Kurzname;VergütungCHF_Gebäudeprogramm;Massnahmenbereich
2017;SH;1042084;Total
2017;SH;1030600;Wärmedämmung
2017;SH;0;Zentrale Wärmeversorgung
2017;SO;603609;Haustechnik
2017;SO;178952;Neubau
2017;SO;12000;Systemsanierung
2017;SO;3868621;Total
2017;SO;3074060;Wärmedämmung
2017;SO;0;Zentrale Wärmeversorgung
2017;SZ;0;Haustechnik
2017;SZ;0;Neubau
2017;SZ;0;Systemsanierung
2017;SZ;1599410;Total
2017;SZ;1599410;Wärmedämmung
2017;SZ;0;Zentrale Wärmeversorgung
2017;TG;1842563;Haustechnik
2017;TG;1132700;Neubau
2017;TG;1096115;Systemsanierung
2017;TG;8418580;Total
2017;TG;3903590;Wärmedämmung
2017;TG;443612;Zentrale Wärmeversorgung
2017;TI;593955;Haustechnik
2017;TI;1151012;Neubau
2017;TI;1669848;Systemsanierung
2017;TI;9501834;Total
2017;TI;4958860;Wärmedämmung
2017;TI;1128159;Zentrale Wärmeversorgung
2017;UR;235000;Haustechnik
2017;UR;62000;Neubau
2017;UR;0;Systemsanierung
2017;UR;855520;Total
2017;UR;541960;Wärmedämmung
2017;UR;16560;Zentrale Wärmeversorgung
2017;VD;3302594.5;Haustechnik
2017;VD;678260;Neubau
2017;VD;1073921;Systemsanierung
2017;VD;17917350.5;Total
2017;VD;12664694;Wärmedämmung
2017;VD;197881;Zentrale Wärmeversorgung
2017;VS;966798;Haustechnik
2017;VS;321150;Neubau
2017;VS;186867;Systemsanierung
2017;VS;6722079;Total
2017;VS;4589023;Wärmedämmung
2017;VS;658241;Zentrale Wärmeversorgung
2017;ZG;216500;Haustechnik
2017;ZG;0;Neubau
2017;ZG;0;Systemsanierung
2017;ZG;2115080;Total
2017;ZG;1898580;Wärmedämmung
2017;ZG;0;Zentrale Wärmeversorgung
2017;ZH;1296089;Haustechnik
2017;ZH;1644438;Neubau
2017;ZH;2988665;Systemsanierung
2017;ZH;22712572;Total
2017;ZH;15848340;Wärmedämmung
2017;ZH;935040;Zentrale Wärmeversorgung
2018;AG;251022;Haustechnik
2018;AG;1134009;Neubau
2018;AG;526975;Systemsanierung
2018;AG;8649765;Total
2018;AG;5937160;Wärmedämmung
2018;AG;68580;Zentrale Wärmeversorgung
2018;AI;91968;Haustechnik
2018;AI;15000;Neubau
2018;AI;51480;Systemsanierung
2018;AI;394108;Total
2018;AI;235660;Wärmedämmung
2018;AI;0;Zentrale Wärmeversorgung
2018;AR;194717;Haustechnik
2018;AR;0;Neubau
2018;AR;225600;Systemsanierung
2018;AR;1262629;Total
2018;AR;825480;Wärmedämmung
2018;AR;2000;Zentrale Wärmeversorgung
2018;BE;10338535;Haustechnik
2018;BE;2703585;Neubau
2018;BE;15957160;Systemsanierung
2018;BE;37291008;Total
2018;BE;5095470;Wärmedämmung
2018;BE;1862120;Zentrale Wärmeversorgung
2018;BL;1152997;Haustechnik
2018;BL;1366545;Neubau
2018;BL;707225;Systemsanierung
2018;BL;8634825;Total
2018;BL;4733456;Wärmedämmung
2018;BL;166083;Zentrale Wärmeversorgung
2018;BS;620300;Haustechnik
2018;BS;0;Neubau
2018;BS;198950;Systemsanierung
2018;BS;3310033.42;Total
2018;BS;2045650;Wärmedämmung
2018;BS;0;Zentrale Wärmeversorgung
2018;CH;36708569.6;Haustechnik
2018;CH;6917060.42;Indirekte Massnahmen
2018;CH;16361979;Neubau
2018;CH;35197532;Systemsanierung
2018;CH;210600624.5;Total
2018;CH;108004196.9;Wärmedämmung
2018;CH;7411286.6;Zentrale Wärmeversorgung
2018;FR;2638709;Haustechnik
2018;FR;157376;Neubau
2018;FR;649701;Systemsanierung
2018;FR;8926128;Total
2018;FR;4740364;Wärmedämmung
2018;FR;542060;Zentrale Wärmeversorgung
2018;GE;2198693;Haustechnik
2018;GE;1470920;Neubau
2018;GE;2165691;Systemsanierung
2018;GE;9559567.5;Total
2018;GE;3173872;Wärmedämmung
2018;GE;201750;Zentrale Wärmeversorgung
2018;GL;679640;Haustechnik
2018;GL;164000;Neubau
2018;GL;0;Systemsanierung
2018;GL;1450420;Total
2018;GL;563230;Wärmedämmung
2018;GL;16800;Zentrale Wärmeversorgung
2018;GR;2061263;Haustechnik
2018;GR;436300;Neubau
2018;GR;1778010;Systemsanierung
2018;GR;10336875;Total
2018;GR;5457270;Wärmedämmung
2018;GR;545340;Zentrale Wärmeversorgung
2018;JU;567999;Haustechnik
2018;JU;117775;Neubau
2018;JU;172085;Systemsanierung
2018;JU;2318471;Total
2018;JU;1151340;Wärmedämmung
2018;JU;294210;Zentrale Wärmeversorgung
2018;LU;217850;Haustechnik
2018;LU;0;Neubau
2018;LU;85540;Systemsanierung
2018;LU;7880100;Total
2018;LU;6887770;Wärmedämmung
2018;LU;401140;Zentrale Wärmeversorgung
2018;NE;438094;Haustechnik
2018;NE;16050;Neubau
2018;NE;165120;Systemsanierung
2018;NE;5316919;Total
2018;NE;4602915;Wärmedämmung
2018;NE;0;Zentrale Wärmeversorgung
2018;NW;155858;Haustechnik
2018;NW;153150;Neubau
2018;NW;0;Systemsanierung
2018;NW;1414538;Total
2018;NW;1041930;Wärmedämmung
2018;NW;0;Zentrale Wärmeversorgung
2018;OW;126567;Haustechnik
2018;OW;0;Neubau
2018;OW;101670;Systemsanierung
2018;OW;667057;Total
2018;OW;420820;Wärmedämmung
2018;OW;0;Zentrale Wärmeversorgung
2018;SG;2416880;Haustechnik
2018;SG;72930;Neubau
2018;SG;2964645;Systemsanierung
2018;SG;12403478.85;Total
2018;SG;4965979.85;Wärmedämmung
2018;SG;750000.6;Zentrale Wärmeversorgung
2018;SH;234350;Haustechnik
2018;SH;20000;Neubau
2018;SH;202940;Systemsanierung
2018;SH;1703145;Total
2018;SH;1190230;Wärmedämmung
2018;SH;25000;Zentrale Wärmeversorgung
2018;SO;801473.2;Haustechnik
2018;SO;63756;Neubau
2018;SO;0;Systemsanierung
2018;SO;4185439.85;Total
2018;SO;3275713;Wärmedämmung
2018;SO;0;Zentrale Wärmeversorgung
2018;SZ;171486;Haustechnik
2018;SZ;0;Neubau
2018;SZ;0;Systemsanierung
2018;SZ;2531926;Total
2018;SZ;2338340;Wärmedämmung
2018;SZ;0;Zentrale Wärmeversorgung
2018;TG;2841304;Haustechnik
2018;TG;1145490;Neubau
2018;TG;1751603;Systemsanierung
2018;TG;10500511;Total
2018;TG;3597075;Wärmedämmung
2018;TG;899908;Zentrale Wärmeversorgung
2018;TI;2080117;Haustechnik
2018;TI;1968788;Neubau
2018;TI;2328082;Systemsanierung
2018;TI;12187681.45;Total
2018;TI;5154110;Wärmedämmung
2018;TI;427962;Zentrale Wärmeversorgung
2018;UR;324220;Haustechnik
2018;UR;0;Neubau
2018;UR;0;Systemsanierung
2018;UR;1496278;Total
2018;UR;1104908;Wärmedämmung
2018;UR;7500;Zentrale Wärmeversorgung
2018;VD;2583675.4;Haustechnik
2018;VD;0;Neubau
2018;VD;829460;Systemsanierung
2018;VD;14754153.4;Total
2018;VD;10888856;Wärmedämmung
2018;VD;0;Zentrale Wärmeversorgung
2018;VS;2074624;Haustechnik
2018;VS;609500;Neubau
2018;VS;927142;Systemsanierung
2018;VS;12158838;Total
2018;VS;8101938;Wärmedämmung
2018;VS;147450;Zentrale Wärmeversorgung
2018;ZG;116698;Haustechnik
2018;ZG;0;Neubau
2018;ZG;0;Systemsanierung
2018;ZG;1599638;Total
2018;ZG;1420440;Wärmedämmung
2018;ZG;0;Zentrale Wärmeversorgung
2018;ZH;1329530;Haustechnik
2018;ZH;4746805;Neubau
2018;ZH;3408453;Systemsanierung
2018;ZH;29667091;Total
2018;ZH;19054220;Wärmedämmung
2018;ZH;1053383;Zentrale Wärmeversorgung
2019;AG;199065;Haustechnik
2019;AG;879014;Neubau
2019;AG;737696;Systemsanierung
2019;AG;11693371;Total
2019;AG;8980700;Wärmedämmung
2019;AG;0;Zentrale Wärmeversorgung
2019;AI;90985;Haustechnik
2019;AI;129741;Neubau
2019;AI;256007;Systemsanierung
2019;AI;628253;Total
2019;AI;151520;Wärmedämmung
2019;AI;0;Zentrale Wärmeversorgung
2019;AR;273877;Haustechnik
2019;AR;0;Neubau
2019;AR;288230;Systemsanierung
2019;AR;1687281;Total
2019;AR;1122050;Wärmedämmung
2019;AR;0;Zentrale Wärmeversorgung
2019;BE;5428608;Haustechnik
2019;BE;3434930;Neubau
2019;BE;28071280;Systemsanierung
2019;BE;44917929;Total
2019;BE;1864820;Wärmedämmung
2019;BE;4164604;Zentrale Wärmeversorgung
2019;BL;1421237;Haustechnik
2019;BL;1434245;Neubau
2019;BL;306170;Systemsanierung
2019;BL;8458700;Total
2019;BL;4748223;Wärmedämmung
2019;BL;140203;Zentrale Wärmeversorgung
2019;BS;1338164;Haustechnik
2019;BS;0;Neubau
2019;BS;7575;Systemsanierung
2019;BS;4867652;Total
2019;BS;3410800;Wärmedämmung
2019;BS;0;Zentrale Wärmeversorgung
2019;CH;37686180.35;Haustechnik
2019;CH;9911819.2;Indirekte Massnahmen
2019;CH;12712321;Neubau
2019;CH;59986224;Systemsanierung
2019;CH;264299758.1;Total
2019;CH;132570430;Wärmedämmung
2019;CH;11432783.5;Zentrale Wärmeversorgung
2019;FR;2890575;Haustechnik
2019;FR;377326;Neubau
2019;FR;1951784;Systemsanierung
